Id,PredictedSalary
72629919,33741.3719
72629930,40384.17769
72629937,51318.30416
72629938,44144.03933
72629944,29664.61367
72629946,21317.82148
72629948,40384.17769
72629949,28818.16599
72629954,40384.17769
72629956,30509.77297
72629957,44064.5011
72629959,30417.29227
72629960,34870.44635
72629964,41792.56773
72629975,19396.82633
72629978,5894.31183
72629982,44064.5011
72629993,35852.05336
72630000,41792.56773
72630007,29896.29823
72630009,35570.26788
72630010,43132.34294
72630011,27042.29772
72630049,37603.61818
72630052,40108.38981
72630055,31400.36415
72630057,32585.17607
72630060,6077.07118
72630061,31748.4429
72630063,27646.84085
72630066,28543.05263
72630071,22483.49163
72630078,47212.8809
72630085,46089.03186
72630087,46089.03186
72630098,21913.2806
72630099,38526.9568
72630109,33285.67201
72630116,32942.12514
72630123,54274.99308
72630124,24133.47276
72630131,54274.99308
72630133,54457.75243
72630135,24480.97816
72630142,54274.99308
72630149,38526.9568
72630161,26418.16277
72630353,26418.16277
72630356,39159.65133
72630360,27380.52434
72630363,24792.89134
72630365,22436.19184
72630370,45895.87893
72630374,18305.50322
72630379,30416.32536
72630385,27574.58314
72630387,29268.5929
72630391,29004.70942
72630392,29424.01582
72630401,24436.02185
72630404,27728.28497
72630406,33178.67219
72630412,20969.1859
72630416,30026.33107
72630426,27539.001
72630427,43458.22453
72630444,22436.19184
72630456,54274.99308
72630472,51318.30416
72630475,18096.41077
72630477,32759.36579
72630479,22436.19184
72630480,35525.16605
72630489,28135.58045
72630490,24407.8518
72630491,25097.47764
72630493,28135.58045
72630517,32137.28702
72630520,46089.03186
72630522,20276.03075
72630523,33999.29084
72630530,36054.55786
72630534,20512.86225
72630536,3563.269267
72630539,31635.51675
72630559,29682.07026
72630564,29716.99055
72630566,31280.05247
72630570,33017.613
72630580,44749.25665
72630587,27197.35491
72630589,31004.53944
72630595,7317.925636
72630600,32759.36579
72630602,29947.07326
72630610,27085.20226
72630612,13429.92251
72630622,28650.65528
72630627,30268.13572
72630629,25986.39609
72630649,21946.45476
72630651,36199.8158
72630653,42886.44071
72630654,16952.91355
72630660,30580.57883
72630663,31635.51675
72630665,44400.58837
72630679,25039.02825
72630680,27227.78197
72630681,44400.58837
72630685,27337.55188
72630691,31454.93385
72630698,32938.61939
72630700,18839.97271
72630702,29794.09663
72630704,21633.41917
72630708,35078.47364
72630711,47100.72825
72630713,14564.57176
72630722,25437.14131
72630723,7317.925636
72630724,26844.54833
72630725,26728.17343
72630726,46089.03186
72630727,22862.53337
72630728,18028.45706
72630733,7317.925636
72630753,35868.58178
72630754,10384.39596
72630761,44749.25665
72630764,28209.74948
72630772,32170.09381
72630782,28067.94864
72630784,31308.91744
72630786,39821.47798
72630787,21015.05348
72630800,26844.54833
72630808,29475.35566
72630818,33365.00496
72630821,25465.89828
72630823,46089.03186
72630824,36614.63195
72630830,33907.71364
72630846,39821.47798
72630851,39821.47798
